timestamp,node_ip,container_id,container_name,cpu_cores,memory_mb,rx_bytes_per_sec,tx_bytes_per_sec
2025-06-12T05:41:37.116364,10.160.0.16,/system.slic,my-app_authentication.2.4khhfz6pi23ftdibipqbf5qdy,0.002893,83.44,0.0,0.0
2025-06-12T05:41:37.116364,10.160.0.16,/system.slic,my-app_authentication.1.ha8i64p0ayewu8be8u2gmvgfx,0.005971,83.05,0.0,0.0
2025-06-12T05:41:38.646021,10.160.0.16,/system.slic,my-app_authentication.3.aogo9rvshd64iokooqxkxhwml,0.006957,92.43,0.0,0.0
2025-06-12T05:41:38.646021,10.160.0.16,/system.slic,my-app_authentication.6.vss2vf5mf5xlrdcxu8b2as47w,0.008059,86.0,66.0,66.0
2025-06-12T05:41:40.164876,10.160.0.16,/system.slic,my-app_authentication.4.laewtyndu0y6jbxjv8eqkhatz,0.005264,95.24,0.0,0.0
2025-06-12T05:41:41.693234,10.160.0.16,/system.slic,my-app_authentication.7.8jmt2djbcjqraeutalcn8aj3t,0.003116,92.46,0.0,0.0
2025-06-12T05:41:41.693234,10.160.0.16,/system.slic,my-app_authentication.8.omqp634sl820m14ur6ti51kxk,0.00651,82.11,0.0,0.0
2025-06-12T05:41:43.211550,10.160.0.16,/system.slic,my-app_authentication.9.mhxgh5pa0krwpywr0finnvgkj,0.007713,125.47,0.0,0.0
2025-06-12T05:41:46.266094,10.160.0.16,/system.slic,my-app_authentication.10.lss5eneeza5zdg8hnoebo048d,0.004157,111.89,84.0,0.0
2025-06-12T05:41:47.811444,10.160.0.16,/system.slic,my-app_authentication.5.k7lcjslbmslxey3j7d8xc4wt0,0.003851,85.15,432.0,0.0
2025-06-12T05:41:49.355081,10.160.0.16,/system.slic,my-app_authentication.2.4khhfz6pi23ftdibipqbf5qdy,0.004326,83.44,380.0,197.0
2025-06-12T05:41:49.355081,10.160.0.16,/system.slic,my-app_authentication.1.ha8i64p0ayewu8be8u2gmvgfx,0.003359,83.05,0.0,0.0
2025-06-12T05:41:50.911742,10.160.0.16,/system.slic,my-app_authentication.3.aogo9rvshd64iokooqxkxhwml,0.00737,92.43,0.0,0.0
2025-06-12T05:41:50.911742,10.160.0.16,/system.slic,my-app_authentication.6.vss2vf5mf5xlrdcxu8b2as47w,0.007349,86.0,379.0,184.0
2025-06-12T05:41:52.438894,10.160.0.16,/system.slic,my-app_authentication.4.laewtyndu0y6jbxjv8eqkhatz,0.016419,95.72,3410.0,1120.0
2025-06-12T05:41:53.970703,10.160.0.16,/system.slic,my-app_authentication.7.8jmt2djbcjqraeutalcn8aj3t,0.032096,93.32,15715.0,296.0
2025-06-12T05:41:53.970703,10.160.0.16,/system.slic,my-app_authentication.8.omqp634sl820m14ur6ti51kxk,0.062127,82.11,8673.0,7412.0
2025-06-12T05:41:55.497056,10.160.0.16,/system.slic,my-app_authentication.9.mhxgh5pa0krwpywr0finnvgkj,0.009981,125.47,0.0,0.0
2025-06-12T05:41:58.576561,10.160.0.16,/system.slic,my-app_authentication.10.lss5eneeza5zdg8hnoebo048d,0.004886,112.7,210.0,42.0
2025-06-12T05:42:00.107651,10.160.0.16,/system.slic,my-app_authentication.5.k7lcjslbmslxey3j7d8xc4wt0,0.045338,85.15,1663.0,6275.0
2025-06-12T05:42:01.645292,10.160.0.16,/system.slic,my-app_authentication.2.4khhfz6pi23ftdibipqbf5qdy,0.005237,83.44,379.0,1490.0
2025-06-12T05:42:01.645292,10.160.0.16,/system.slic,my-app_authentication.1.ha8i64p0ayewu8be8u2gmvgfx,0.004392,83.04,0.0,0.0
2025-06-12T05:42:03.182116,10.160.0.16,/system.slic,my-app_authentication.3.aogo9rvshd64iokooqxkxhwml,0.189433,95.52,4148.0,265667.0
2025-06-12T05:42:03.182116,10.160.0.16,/system.slic,my-app_authentication.6.vss2vf5mf5xlrdcxu8b2as47w,0.01232,85.99,685.0,662.0
2025-06-12T05:42:04.707198,10.160.0.16,/system.slic,my-app_authentication.4.laewtyndu0y6jbxjv8eqkhatz,0.009026,97.55,836.0,280.0
2025-06-12T05:42:06.238609,10.160.0.16,/system.slic,my-app_authentication.7.8jmt2djbcjqraeutalcn8aj3t,0.008623,95.39,116.0,74.0
2025-06-12T05:42:06.238609,10.160.0.16,/system.slic,my-app_authentication.8.omqp634sl820m14ur6ti51kxk,0.015976,82.11,1232.0,1010.0
2025-06-12T05:42:07.756109,10.160.0.16,/system.slic,my-app_authentication.9.mhxgh5pa0krwpywr0finnvgkj,0.006309,125.51,0.0,0.0
2025-06-12T05:42:10.810366,10.160.0.16,/system.slic,my-app_authentication.10.lss5eneeza5zdg8hnoebo048d,0.014493,114.62,460.0,140.0
2025-06-12T05:42:12.356560,10.160.0.16,/system.slic,my-app_authentication.5.k7lcjslbmslxey3j7d8xc4wt0,0.032488,85.16,1150.0,3640.0
2025-06-12T05:42:13.895248,10.160.0.16,/system.slic,my-app_authentication.2.4khhfz6pi23ftdibipqbf5qdy,0.006969,83.44,0.0,979.0
2025-06-12T05:42:13.895248,10.160.0.16,/system.slic,my-app_authentication.1.ha8i64p0ayewu8be8u2gmvgfx,0.002956,83.04,0.0,0.0
2025-06-12T05:42:15.424725,10.160.0.16,/system.slic,my-app_authentication.3.aogo9rvshd64iokooqxkxhwml,0.012351,96.73,0.0,0.0
2025-06-12T05:42:15.424725,10.160.0.16,/system.slic,my-app_authentication.6.vss2vf5mf5xlrdcxu8b2as47w,0.003867,85.99,74.0,0.0
