Metric,Mean,Median,Std Dev,Min,Max,P95,P99
cpu_cores,0.011232543615494979,0.005217,0.04760650028752307,0.000583,1.350332,0.02339484999999998,0.16378009999999735
memory_mb,89.29535150645626,83.45,15.065112482755149,38.21,131.2,130.95,130.95
rx_bytes_per_sec,533.93543758967,0.0,2693.3874212004694,0.0,36494.0,1573.8499999999804,13549.77999999998
tx_bytes_per_sec,881.4344332855093,0.0,9281.312576476857,0.0,332082.0,1585.3999999999796,16246.0
