timestamp,node_ip,container_id,container_name,cpu_cores,memory_mb,rx_bytes_per_sec,tx_bytes_per_sec
2025-06-12T08:47:16.980954,10.160.0.16,/system.slic,my-app_authentication.10.z59xs95fb50v7r9q9uq5jvrle,0.004635,80.15,758.0,250.0
2025-06-12T08:47:16.980954,10.160.0.16,/system.slic,my-app_authentication.9.bmnnoao9tvnb6mqyaktw066bv,0.004556,80.27,0.0,0.0
2025-06-12T08:47:18.534305,10.160.0.16,/system.slic,my-app_authentication.5.4l9bdf8j9voofjt2chm47i3ip,0.00072,38.21,0.0,74.0
2025-06-12T08:47:18.534305,10.160.0.16,/system.slic,my-app_authentication.1.o5lwhh1x2ro8zzovk1sg768rd,0.000893,38.21,84.0,0.0
2025-06-12T08:47:20.051553,10.160.0.16,/system.slic,my-app_authentication.4.fcnfvktpow3wejo6t9bl9xi7l,0.005495,81.3,84.0,0.0
2025-06-12T08:47:21.574917,10.160.0.16,/system.slic,my-app_authentication.7.s7kc0o4t4w4990v64sr18q6s4,0.005395,98.04,294.0,0.0
2025-06-12T08:47:23.094485,10.160.0.16,/system.slic,my-app_authentication.2.pe0a1o0357lx3n0n2010wvil3,0.003273,81.29,0.0,0.0
2025-06-12T08:47:23.094485,10.160.0.16,/system.slic,my-app_authentication.6.tau0o566ycfrecfm6nfc7bgm7,0.002964,78.73,126.0,0.0
2025-06-12T08:47:26.133123,10.160.0.16,/system.slic,my-app_authentication.8.p915n1ltpry1kclv26qiklvqi,0.00565,86.93,927.0,263.0
2025-06-12T08:47:27.650511,10.160.0.16,/system.slic,my-app_authentication.3.i3ominug9xxhlql57qj4253lc,0.006239,81.32,42.0,0.0
2025-06-12T08:47:28.650655,10.160.0.16,/system.slic,my-app_authentication.10.z59xs95fb50v7r9q9uq5jvrle,0.004869,80.15,759.0,263.0
2025-06-12T08:47:28.650655,10.160.0.16,/system.slic,my-app_authentication.9.bmnnoao9tvnb6mqyaktw066bv,0.003451,80.27,168.0,0.0
2025-06-12T08:47:30.169459,10.160.0.16,/system.slic,my-app_authentication.5.4l9bdf8j9voofjt2chm47i3ip,0.002224,38.22,0.0,148.0
2025-06-12T08:47:30.169459,10.160.0.16,/system.slic,my-app_authentication.1.o5lwhh1x2ro8zzovk1sg768rd,0.000583,38.22,0.0,0.0
2025-06-12T08:47:31.686652,10.160.0.16,/system.slic,my-app_authentication.4.fcnfvktpow3wejo6t9bl9xi7l,0.003186,81.3,0.0,0.0
2025-06-12T08:47:33.210018,10.160.0.16,/system.slic,my-app_authentication.7.s7kc0o4t4w4990v64sr18q6s4,0.006513,98.04,210.0,0.0
2025-06-12T08:47:34.728408,10.160.0.16,/system.slic,my-app_authentication.2.pe0a1o0357lx3n0n2010wvil3,0.003081,81.29,0.0,0.0
2025-06-12T08:47:34.728408,10.160.0.16,/system.slic,my-app_authentication.6.tau0o566ycfrecfm6nfc7bgm7,0.00727,78.73,0.0,0.0
2025-06-12T08:47:37.773419,10.160.0.16,/system.slic,my-app_authentication.8.p915n1ltpry1kclv26qiklvqi,0.004434,86.93,800.0,250.0
2025-06-12T08:47:39.291281,10.160.0.16,/system.slic,my-app_authentication.3.i3ominug9xxhlql57qj4253lc,0.008109,81.32,0.0,0.0
2025-06-12T08:47:40.291453,10.160.0.16,/system.slic,my-app_authentication.10.z59xs95fb50v7r9q9uq5jvrle,0.006534,80.15,0.0,0.0
2025-06-12T08:47:40.291453,10.160.0.16,/system.slic,my-app_authentication.9.bmnnoao9tvnb6mqyaktw066bv,0.003499,80.27,0.0,0.0
2025-06-12T08:47:43.319946,10.160.0.16,/system.slic,my-app_authentication.4.fcnfvktpow3wejo6t9bl9xi7l,0.003077,81.3,0.0,0.0
