Metric,Mean,Median,Std Dev,Min,Max,P95,P99
cpu_cores,0.02232606986899563,0.005127,0.07660378909213354,0.002509,0.545414,0.15032809999999777,0.42679205999999975
memory_mb,90.07620087336245,83.5,15.318605314510467,80.07,131.49,130.95,130.95
rx_bytes_per_sec,2017.703056768559,0.0,9340.598262113777,0.0,70766.0,7434.0,58068.63999999996
tx_bytes_per_sec,2592.9461426491994,0.0,11108.832960659012,0.0,67832.0,22101.49999999958,60904.0
