timestamp,node_ip,container_id,container_name,service_name,cpu_cores,memory_usage_mb,memory_working_set_mb,memory_limit_mb,memory_percent,network_rx_bytes_per_sec,network_tx_bytes_per_sec,filesystem_usage_mb,raw_memory_bytes,raw_network_rx_bytes,raw_network_tx_bytes
2025-06-11T12:27:22.707145,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.008515,140.766,140.426,0,0,631.0,66.0,4.184,147603456,4783719,7003554
2025-06-11T12:27:22.707145,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.00918,126.445,125.965,0,0,462.0,0.0,3.152,132587520,2064999,10590186
2025-06-11T12:27:32.749008,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.004254,102.965,102.293,0,0,0.0,0.0,1.824,107966464,1144554,2701810
2025-06-11T12:27:32.749008,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.008182,133.988,133.457,0,0,0.0,0.0,3.656,140496896,1154553,4863057
2025-06-11T12:27:42.795813,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.003896,101.582,100.902,0,0,0.0,0.0,1.766,106516480,1156522,4916978
2025-06-11T12:27:42.795813,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.005508,194.84,194.301,0,0,380.0,197.0,7.188,204304384,2785559,20198343
2025-06-11T12:27:52.843805,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.003714,165.746,165.164,0,0,379.0,66.0,5.219,173797376,2426075,11403832
2025-06-11T12:28:13.003460,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.004923,84.043,83.551,0,0,84.0,0.0,0.809,88125440,1786191,1153533
2025-06-11T12:28:13.003460,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.00352,208.031,207.414,0,0,84.0,0.0,7.66,218136576,1852645,15604752
2025-06-11T12:28:33.080975,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.014221,155.836,154.965,0,0,7570.0,74.0,5.004,163405824,2783560,14852859
2025-06-11T12:28:43.117023,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.010302,141.828,141.488,0,0,875.0,66.0,4.184,148717568,5006297,7141572
2025-06-11T12:28:43.117023,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.00584,127.402,126.922,0,0,168.0,0.0,3.152,133591040,2105306,11031306
2025-06-11T12:28:53.158899,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.008971,105.07,104.398,0,0,0.0,0.0,1.824,110174208,1165679,2973691
2025-06-11T12:28:53.158899,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.018619,136.539,136.008,0,0,0.0,0.0,3.656,143171584,1172740,4867537
2025-06-11T12:29:03.196951,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.005989,101.598,100.918,0,0,0.0,0.0,1.766,106532864,1183913,4934018
2025-06-11T12:29:03.196951,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.00628,199.52,198.977,0,0,601.0,288.0,7.398,209211392,2805245,20378115
2025-06-11T12:29:13.229390,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.009164,172.051,171.469,0,0,421.0,108.0,5.219,180408320,2444362,11581607
2025-06-11T12:29:33.521026,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.005222,84.109,83.617,0,0,84.0,0.0,0.816,88195072,1851390,1190829
2025-06-11T12:29:33.521026,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.003882,214.266,213.648,0,0,84.0,0.0,7.859,224673792,1922755,16733712
2025-06-11T12:29:53.581353,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.013581,165.121,164.25,0,0,42.0,74.0,5.395,173142016,2806045,15176791
2025-06-11T12:30:03.694996,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.053118,141.855,141.516,0,0,2978.0,6715.0,4.27,148746240,5091588,7305424
2025-06-11T12:30:03.694996,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.012643,128.203,127.723,0,0,294.0,0.0,3.25,134430720,2173846,11395043
2025-06-11T12:30:13.771849,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.164963,109.488,108.816,0,0,5733.0,54510.0,2.082,114806784,1233544,4181140
2025-06-11T12:30:13.771849,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.026822,136.258,135.727,0,0,3414.0,840.0,3.664,142876672,1234305,4937266
2025-06-11T12:30:23.801966,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.004078,101.598,100.918,0,0,0.0,0.0,1.777,106532864,1244431,4971692
2025-06-11T12:30:23.801966,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.030563,212.891,212.348,0,0,379.0,66.0,7.578,223232000,2820242,20968320
2025-06-11T12:30:33.838357,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.104377,183.594,183.012,0,0,74.0,35770.0,6.098,192512000,2459143,12219723
2025-06-11T12:30:53.981873,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.199853,84.105,83.613,0,0,15458.0,9618.0,0.82,88190976,1928511,1235781
2025-06-11T12:30:53.981873,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.079516,224.07,223.453,0,0,11039.0,2660.0,8.242,234954752,1995979,17892526
2025-06-11T12:31:14.030156,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.028927,184.027,183.156,0,0,0.0,148.0,5.426,192966656,2821420,16231900
2025-06-11T12:31:24.063091,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.011633,141.867,141.527,0,0,1058.0,838.0,4.285,148758528,5187208,7512067
2025-06-11T12:31:24.063091,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.024535,128.223,127.742,0,0,982.0,468.0,3.34,134451200,2260509,11440349
2025-06-11T12:31:34.091347,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.006934,111.73,111.059,0,0,0.0,0.0,2.227,117157888,1300584,4228761
2025-06-11T12:31:34.091347,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.003957,136.027,135.496,0,0,0.0,0.0,3.719,142635008,1308033,4997339
2025-06-11T12:31:44.120805,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.006232,101.602,100.922,0,0,0.0,0.0,1.789,106536960,1311122,5013056
2025-06-11T12:31:44.120805,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.025917,227.234,226.691,0,0,759.0,9672.0,8.43,238272512,2833480,21626919
2025-06-11T12:31:54.152727,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.035919,190.5,189.918,0,0,2819.0,9598.0,6.473,199753728,2523428,12750227
2025-06-11T12:32:14.288392,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.004327,84.121,83.629,0,0,84.0,0.0,0.84,88207360,1988081,1269345
2025-06-11T12:32:14.288392,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.021592,228.289,227.672,0,0,42.0,0.0,8.359,239378432,2067496,19063257
2025-06-11T12:32:34.406922,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.011102,194.922,194.051,0,0,42.0,116.0,7.125,204390400,2838223,16771165
2025-06-11T12:32:44.435771,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.009683,141.867,141.527,0,0,853.0,184.0,4.293,148758528,5287853,7718611
2025-06-11T12:32:44.435771,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.004764,128.254,127.773,0,0,294.0,0.0,3.348,134483968,2344691,11484173
2025-06-11T12:32:54.469798,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.007773,126.148,125.477,0,0,66.0,66.0,2.555,132276224,1380136,6037967
2025-06-11T12:32:54.469798,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.004069,136.035,135.504,0,0,0.0,0.0,3.727,142643200,1383428,5043862
2025-06-11T12:33:04.503079,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.011154,101.641,100.961,0,0,574.0,140.0,1.797,106577920,1400769,5068126
2025-06-11T12:33:04.503079,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.008886,237.285,236.742,0,0,421.0,214.0,9.285,248811520,2890174,22285363
2025-06-11T12:33:14.526850,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.003035,191.301,190.719,0,0,0.0,148.0,6.688,200593408,2608289,12991676
2025-06-11T12:33:34.769417,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.019057,84.137,83.645,0,0,898.0,468.0,0.852,88223744,2129545,1354053
2025-06-11T12:33:34.769417,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.020567,231.719,231.102,0,0,940.0,534.0,8.762,242974720,2215326,19608229
2025-06-11T12:33:54.868140,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.005601,196.258,195.387,0,0,0.0,0.0,7.195,205791232,3009920,17303032
2025-06-11T12:34:04.902619,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.013684,141.922,141.582,0,0,1403.0,406.0,4.305,148815872,5459271,8133482
2025-06-11T12:34:04.902619,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.008167,128.285,127.805,0,0,252.0,0.0,3.359,134516736,2495813,11568965
2025-06-11T12:34:14.978942,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.004932,133.965,133.293,0,0,0.0,0.0,2.891,140472320,1543244,7176732
2025-06-11T12:34:14.978942,10.160.0.21,/system.slic,my-app_authentication.10.mdj0vvly11q2wiw11ugfge3oh,authentication,0.003817,136.129,135.598,0,0,0.0,0.0,3.738,142741504,1534026,5136804
2025-06-11T12:34:25.012798,10.160.0.21,/system.slic,my-app_authentication.5.zx8tqpir60xozsgfuq6wrv2qj,authentication,0.003978,101.613,100.934,0,0,0.0,0.0,1.828,106549248,1534045,5150516
2025-06-11T12:34:25.012798,10.160.0.21,/system.slic,my-app_authentication.6.airz0zc6ks9u0xb2xd5d59t8h,authentication,0.011667,245.727,245.184,0,0,379.0,66.0,9.344,257662976,2986251,22949814
2025-06-11T12:34:35.036928,10.160.0.21,/system.slic,my-app_authentication.9.z8lzgogunavzgjw9seaz63kiy,authentication,0.012571,193.305,192.723,0,0,42.0,42.0,6.754,202694656,2724352,13338426
2025-06-11T12:34:55.197875,10.160.0.21,/system.slic,my-app_authentication.8.4paohu71ydp3tyj4zydu70xp2,authentication,0.007815,84.156,83.664,0,0,84.0,0.0,0.871,88244224,2220829,1407387
2025-06-11T12:34:55.197875,10.160.0.21,/system.slic,my-app_authentication.3.jyv3hw4x5prw88r7v7wv5cfnv,authentication,0.010747,245.594,244.977,0,0,126.0,0.0,9.473,257523712,2312478,22114997
2025-06-11T12:35:15.321011,10.160.0.21,/system.slic,my-app_authentication.1.0s6tss6vhukg3ynb9zd03t002,authentication,0.004092,202.742,201.871,0,0,0.0,1116.0,7.234,212590592,3051801,17637081
2025-06-11T12:35:25.363217,10.160.0.21,/system.slic,my-app_authentication.4.u40zk557d19cghmq4pothvthi,authentication,0.005782,143.5,143.16,0,0,1000.0,250.0,4.438,150470656,5550520,8374032
2025-06-11T12:35:25.363217,10.160.0.21,/system.slic,my-app_authentication.7.en51jsn7h57nuwkxbzc4z5isb,authentication,0.009874,128.266,127.785,0,0,126.0,0.0,3.387,134496256,2558499,11600099
2025-06-11T12:35:35.411276,10.160.0.21,/system.slic,my-app_authentication.2.wb9kwvpsesk4z2uzydg5rs2ql,authentication,0.006342,134.16,133.488,0,0,0.0,0.0,3.203,140677120,1574234,7220678
